codigo,name,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,generation,shape,total,url_image
1,bulbasaur,grass,poison,49,49,45,65,65,45,1,quadruped,318,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/1.svg
2,ivysaur,grass,poison,62,63,60,80,80,60,1,quadruped,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/2.svg
3,venusaur,grass,poison,82,83,80,100,100,80,1,quadruped,525,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/3.svg
4,charmander,fire,NA,52,43,39,60,50,65,1,upright,309,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/4.svg
5,charmeleon,fire,NA,64,58,58,80,65,80,1,upright,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/5.svg
6,charizard,fire,flying,84,78,78,109,85,100,1,upright,534,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/6.svg
7,squirtle,water,NA,48,65,44,50,64,43,1,upright,314,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/7.svg
8,wartortle,water,NA,63,80,59,65,80,58,1,upright,405,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/8.svg
9,blastoise,water,NA,83,100,79,85,105,78,1,upright,530,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/9.svg
10,caterpie,bug,NA,30,35,45,20,20,45,1,squiggle,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/10.svg
11,metapod,bug,NA,20,55,50,25,25,30,1,squiggle,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/11.svg
12,butterfree,bug,flying,45,50,60,90,80,70,1,bug-wings,395,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/12.svg
13,weedle,bug,poison,35,30,40,20,20,50,1,squiggle,195,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/13.svg
14,kakuna,bug,poison,25,50,45,25,25,35,1,squiggle,205,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/dream-world/14.svg
